game_id,season,week,home_team,away_team,venue,temperature,dewpoint,humidity,precipitation,snowfall,wind_direction,wind_speed,weather_cond,is_indoor
401908077,2026,2,North Carolina Wesleyan,Apprentice School,Stallings Field,,,,,,,,,False
401907625,2026,2,Lackawanna,Seton Hill,PENFED Field at Scranton Memorial Stadium,,,,,,,,,False
401908190,2026,2,Eastern,Misericordia,O'Hara Field,,,,,,,,,False
401867884,2026,2,South Dakota,Eastern Washington,DakotaDome,72.0,,,0.0,0.0,,0.0,Dome,True
401908515,2026,2,Mayville State,Minnesota Morris,Jerome Berg Field,,,,,,,,,False
401908305,2026,2,Roanoke College,Greensboro,,,,,,,,,,False
401908739,2026,2,Calvin,St. Norbert,Grand Rapids Christian High School,,,,,,,,,False
401868255,2026,2,Northern Iowa,Drake,UNI-Dome,72.0,,,0.0,0.0,,0.0,Dome,True
401858216,2026,2,Syracuse,California,JMA Wireless Dome,72.0,,,0.0,0.0,,0.0,Dome,True
401868093,2026,2,Idaho,Lamar,Kibbie Dome,72.0,,,0.0,0.0,,0.0,Dome,True
401906186,2026,2,Thomas,Erskine,,,,,,,,,,False
401868123,2026,2,Northern Arizona,Incarnate Word,Walkup Skydome,72.0,,,0.0,0.0,,0.0,Dome,True
401868102,2026,2,Idaho State,San Diego,Holt Arena,72.0,,,0.0,0.0,,0.0,Dome,True
401908387,2026,2,Centenary (LA),Millsaps,Mayo Field,,,,,,,,,False
401908326,2026,2,Oklahoma Panhandle,Schreiner,,,,,,,,,,False
401907580,2026,3,Concord,Charleston (WV),Callaghan Stadium,,,,,,,,,False
401858225,2026,3,Pittsburgh,Syracuse,Acrisure Stadium,,,,,,,,,False
401908593,2026,3,UMass Dartmouth,Framingham State,Cressy Field,,,,,,,,,False
401858226,2026,3,Wake Forest,Miami,Allegacy Federal Credit Union Stadium,,,,,,,,,False
401856811,2026,3,Texas Tech,Houston,Jones AT&T Stadium,,,,,,,,,False
401858455,2026,3,Oregon,Portland State,Autzen Stadium,,,,,,,,,False
401867908,2026,3,Long Island University,Villanova,Shark Stadium,,,,,,,,,False
401869940,2026,3,Delaware,Coastal Carolina,Delaware Stadium,,,,,,,,,False
401858451,2026,3,Minnesota,Akron,Huntington Bank Stadium,,,,,,,,,False
401856686,2026,3,Arkansas,Georgia,Razorback Stadium,,,,,,,,,False
